Vegobjekt_540_id,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens
1024046621.0,Rådyr,300,8967,7092652,316522,3,3.0553429546082973e-09
1024046122.0,Rådyr,3800,3178,7196499,322988,7,1.588062849175319e-09
1024045770.0,Rådyr,716,26246,7152198,343290,6,8.747465516630766e-10
1024046221.0,Rådyr,300,6115,7070385,209369,3,4.480336921336485e-09
1024045807.0,Elg,1600,11321,7061432,262971,6,9.07514583759361e-10
1024045535.0,Rådyr,836,9080,7062286,245367,9,3.2483103733131525e-09
1024046488.0,Elg,3200,4965,7035647,302338,3,5.173198692215371e-10
1024046069.0,Rådyr,550,4317,7076870,245467,5,5.769423268257124e-09
1024045936.0,Rådyr,2000,4334,7151940,369287,4,1.264294428886599e-09
1024046664.0,Rådyr,500,6970,7078802,249445,5,3.930740354945854e-09
1024045748.0,Elg,2040,11101,7082761,247830,4,4.839214321616071e-10
1024045821.0,Rådyr,4500,5227,7154473,336100,3,3.494325651931969e-10
1024046194.0,Rådyr,800,2090,7193475,325966,4,6.554368486596316e-09
1024045894.0,Rådyr,1580,11332,7029879,201164,9,1.3771650488241735e-09
1022805364.0,Rådyr,11000,5601,7013545,263883,3,1.3340439340688807e-10
1024045738.0,Rådyr,392,15511,7078770,284975,3,1.3517691332602309e-09
1024045807.0,Rådyr,1600,11321,7061481,262809,7,1.0587670143859213e-09
1024045748.0,Rådyr,2040,11101,7082643,249719,9,1.088823222363616e-09
1024046419.0,Rådyr,4160,6814,7044647,262452,6,5.799131089126305e-10
1024045805.0,Hjort,600,9828,7038954,207024,4,1.8584493470338219e-09
1024046111.0,Elg,300,18388,7029332,290376,4,1.9866043270228845e-09
1024046995.0,Rådyr,300,6589,7058369,250301,5,6.930050152772955e-09
1024046694.0,Hjort,338,29036,7037905,215421,3,8.374808829634648e-10
1024046721.0,Elg,700,4822,7192044,328227,3,2.4350234289837593e-09
1024045783.0,Rådyr,866,17686,7189059,328631,6,1.0732746536634816e-09
1024045735.0,Elg,1470,5062,7067503,265091,3,1.1045589899117314e-09
1024046244.0,Rådyr,507,5116,7020775,297927,4,4.225018663491819e-09
1024046436.0,Elg,1400,10982,7160101,362586,5,8.909794037637108e-10
1024045639.0,Elg,770,24849,7204292,353320,4,5.72753148998603e-10
1024046627.0,Rådyr,1520,4701,7099487,266139,6,2.300512232053589e-09
1022805904.0,Elg,8480,3885,7066900,307949,3,2.494833200441885e-10
1024046320.0,Rådyr,550,35965,7107267,271281,8,1.108037269526084e-09
1022805395.0,Hjort,2080,5925,7011519,161534,11,2.445389995242605e-09
1022805355.0,Rådyr,9660,5211,7008803,260602,3,1.632789469121853e-10
1024046433.0,Rådyr,500,30115,7118274,353422,10,1.8195092328721635e-09
1024046938.0,Rådyr,717,5811,7193130,337099,4,2.630250402698734e-09
1024046270.0,Rådyr,2500,1458,7196423,325295,5,3.758197568446173e-09
1024046292.0,Rådyr,2310,6616,7126150,316396,5,8.963335726185439e-10
1022805618.0,Rådyr,9000,2598,7091343,325297,5,5.858622075522326e-10
1024046045.0,Rådyr,619,15466,7083040,297759,5,1.4308973685971961e-09
1024046622.0,Rådyr,937,10573,7073398,269172,6,1.6592833787663327e-09
1024046204.0,Rådyr,1500,2843,7087411,238382,3,1.927348594721956e-09
1024045862.0,Rådyr,350,10705,7105771,339482,3,2.193682012995738e-09
1024045967.0,Rådyr,950,3693,7111658,340150,3,2.3427474688077818e-09
1024045612.0,Rådyr,1540,6737,7001976,231416,3,7.922114627875698e-10
1024045832.0,Elg,4190,6387,7037098,297459,3,3.0712661354533095e-10
1024045907.0,Rådyr,273,24712,7159160,313489,3,1.2183101093374843e-09
1024046537.0,Rådyr,500,4923,7064374,307273,3,3.3390932692227424e-09
1024046045.0,Elg,619,15466,7082969,298409,5,1.4308973685971961e-09
1022805870.0,Rådyr,2500,7382,7164434,382711,7,1.0391808285982563e-09
1022805712.0,Elg,5000,8065,6982710,251380,3,2.0382338703513405e-10
1024046936.0,Rådyr,175,5832,7206320,308830,6,1.6106561007626455e-08
1024045665.0,Rådyr,1300,2790,7200990,322084,4,3.021478938403375e-09
1024045979.0,Rådyr,2100,753,7116929,319979,3,5.197734827162323e-09
1024046347.0,Rådyr,300,14781,7167867,321136,3,1.8535457867514108e-09
1024046283.0,Hjort,2200,6262,7059780,204823,4,7.954838789225808e-10
1024046762.0,Rådyr,300,7063,7063143,251480,4,5.171977964787881e-09
1024046349.0,Hjort,1940,6779,7038009,229055,3,6.249726704659311e-10
1022805917.0,Rådyr,2130,32999,6935306,221035,5,1.9489323174804274e-10
1024046937.0,Rådyr,1200,5986,7025826,261218,7,2.6698521817269215e-09
1024045635.0,Rådyr,500,60514,7056804,172024,7,6.338395145513707e-10
1024045610.0,Rådyr,700,3084,7090188,240530,3,3.807290199273569e-09
1024045860.0,Rådyr,400,10604,7070511,202509,14,9.042852787523964e-09
1022805713.0,Rådyr,8970,5703,7005250,259846,4,2.1422557256021916e-10
1024045834.0,Rådyr,2300,7883,7065807,201186,4,6.044324390730212e-10
1024047168.0,Rådyr,200,9746,7070781,206132,5,7.027821740707111e-09
1024046652.0,Rådyr,280,5291,7096717,329904,5,9.246584589050342e-09
1024046183.0,Rådyr,5200,4882,7148393,330871,3,3.2376304171492535e-10
1022805916.0,Hjort,1660,9285,7021617,189803,8,1.422024655596738e-09
1022805368.0,Rådyr,11800,1736,7070753,312499,3,4.0123301580644093e-10
1024045735.0,Rådyr,1470,5062,7068259,264421,8,2.945490639764617e-09
1024045956.0,Rådyr,776,3205,7068986,262333,3,3.304750181816339e-09
1024045840.0,Rådyr,160,15254,7063802,207119,4,4.490176392089387e-09
1024047014.0,Rådyr,500,7700,7045402,202412,3,2.134851449919943e-09
1024047044.0,Elg,3800,3671,7110130,328763,4,7.855957870069135e-10
1024537870.0,Rådyr,2000,4155,7003632,203329,3,9.890707680134514e-10
1024045604.0,Rådyr,1440,5634,7083174,240436,6,2.0261847912948617e-09
1024045572.0,Rådyr,3500,4267,7112662,325530,5,9.172473224404098e-10
1024046277.0,Hjort,1500,13301,7038293,200308,6,8.239158040439848e-10
1022805893.0,Rådyr,16500,947,7027335,263591,3,5.260105649221965e-10
1024046601.0,Rådyr,1720,13505,7074278,264764,9,1.0615161588117812e-09
1024046378.0,Rådyr,479,7560,7205364,312575,4,3.026284949240879e-09
1024046601.0,Elg,1720,13505,7073986,264897,3,3.538387196039271e-10
1024046252.0,Rådyr,700,10831,7197713,316128,6,2.1681623071848743e-09
1022805393.0,Rådyr,11500,1838,7017539,263880,3,3.8885263198144394e-10
1024046633.0,Rådyr,1070,1399,7079926,244349,3,5.490689666311571e-09
1022805754.0,Elg,4400,13248,6958167,237052,4,1.8800271927133155e-10
1024045569.0,Rådyr,1210,7705,6980216,238766,3,8.81597554683476e-10
1022805621.0,Elg,4980,4610,6954002,231319,4,4.773499250620286e-10
1024046273.0,Rådyr,700,11450,7063867,295882,3,1.0254744955947326e-09
1024046449.0,Rådyr,3530,5707,7154098,341926,5,6.799775305504894e-10
1024045678.0,Rådyr,1110,3934,7025095,263904,3,1.8822229127888953e-09
1024046277.0,Rådyr,1500,13301,7034764,201161,9,1.2358737060659772e-09
1022805534.0,Rådyr,10500,1958,7049726,294005,3,3.9978491571534514e-10
1024046553.0,Rådyr,1500,3273,7041593,298884,4,2.232183340378662e-09
1024046884.0,Rådyr,2540,6865,7101285,264118,5,7.856025449751565e-10
1024046917.0,Rådyr,1300,2674,7057908,207540,6,4.7288292285782066e-09
1024046488.0,Rådyr,3200,4965,7035554,303087,3,5.173198692215371e-10
1024046353.0,Rådyr,1200,13696,7008827,218075,3,5.000960184355397e-10
1024046002.0,Rådyr,1480,17920,6960134,314819,3,3.0990506161739037e-10
1024046009.0,Rådyr,550,6225,7079978,307454,4,3.2008482247795667e-09
1024046726.0,Elg,920,12989,7158082,327509,3,6.878042358744842e-10
1024046418.0,Rådyr,1680,1923,7037714,276831,3,2.544133076477658e-09
1024045773.0,Hjort,1100,8826,7077965,190277,3,8.465873640063223e-10
1024045832.0,Rådyr,4190,6387,7038165,297410,4,4.095021513937746e-10
1024045491.0,Rådyr,1300,10467,7104847,264030,4,8.053813163413983e-10
1022805612.0,Rådyr,11000,4249,7084083,323913,3,1.7585267297528361e-10
1024046293.0,Rådyr,478,42706,7132211,292286,6,8.052701365776536e-10
1024045494.0,Rådyr,945,16178,7057318,242161,5,8.96025769987873e-10
1024045843.0,Rådyr,220,11420,7107762,316373,3,3.2714448663396675e-09
1024045528.0,Rådyr,700,2612,7078145,245799,3,4.4952844466155e-09
1024046317.0,Rådyr,1840,6163,7158661,331358,3,7.248003585732334e-10
1022805880.0,Rådyr,55000,631,7036069,268924,4,3.157730617948146e-10
1024046631.0,Elg,700,17819,7146417,316611,4,8.785889948601446e-10
1022805804.0,Rådyr,8600,2883,7058410,303563,4,4.4200179519029115e-10
1024046398.0,Rådyr,2080,5404,7069291,195511,4,9.749637118506449e-10
1022805506.0,Elg,2200,18573,7208336,416457,3,2.011516737931352e-10
1024045611.0,Rådyr,800,4754,7059855,210378,5,3.6018695143527296e-09
1024045911.0,Rådyr,260,59863,7096977,269949,4,7.04101551721883e-10
1024046298.0,Rådyr,1500,5669,7134827,316507,6,1.9331282606436834e-09
1024045551.0,Rådyr,877,20271,7203794,367619,3,4.6233164802736946e-10
1024045828.0,Rådyr,1420,11843,7083673,258330,5,8.14567477132525e-10
1022805448.0,Rådyr,5460,4150,7043489,303883,4,4.836446493485609e-10
1022805899.0,Rådyr,5200,3928,6995729,259312,3,4.0239591895424275e-10
1024046363.0,Hjort,700,7280,7064115,192015,4,2.150491387281994e-09
1024046005.0,Elg,700,16632,7008180,310316,3,7.05969394814796e-10
1022805506.0,Rådyr,2200,18573,7211338,418068,4,2.682022317241803e-10
1024535183.0,Rådyr,300,14165,7046292,193794,5,3.2235863365069543e-09
1024045565.0,Rådyr,950,5451,7098196,331061,4,2.1162517953420506e-09
1024046203.0,Rådyr,729,5412,7107758,258434,4,2.777677434180468e-09
1024045819.0,Rådyr,625,9576,7151011,310007,3,1.3732962543344664e-09
1024045554.0,Rådyr,2900,718,7032210,203066,3,3.9473528393966866e-09
1024046351.0,Rådyr,3300,2138,7098423,323316,4,1.5532647489283444e-09
1022805590.0,Hjort,1700,3890,7015513,165207,3,1.2428819117180977e-09
1024046126.0,Rådyr,688,5002,7129303,368750,3,2.3883406178783664e-09
1024046323.0,Rådyr,240,14933,7127126,273740,3,2.2933486467866975e-09
1022805640.0,Rådyr,7200,3258,7107876,328983,3,3.5038444180955345e-10
1024045953.0,Rådyr,883,14631,7163089,332742,3,6.362000169973559e-10
1024046357.0,Rådyr,120,34258,7095125,301279,6,3.998666045007385e-09
1024046636.0,Rådyr,500,5838,7204688,316391,4,3.754335083792066e-09
1024046468.0,Elg,411,27522,7173332,329831,4,9.688249497362112e-10
1024046339.0,Rådyr,750,4256,7070600,284286,3,2.5749304768771243e-09
1024046940.0,Rådyr,727,3806,7026599,264130,3,2.9704701698801e-09
1024046441.0,Rådyr,233,5798,7090128,246502,4,8.11209438032431e-09
1022805567.0,Elg,2700,8321,7146698,370790,3,3.6583824425446464e-10
1024045553.0,Rådyr,5120,5123,7020706,237212,3,3.1335315619326216e-10
1024045797.0,Elg,1740,9706,7014528,233135,3,4.866747954335499e-10
1024046195.0,Elg,584,30341,7069250,343787,3,4.6385864250506575e-10
